regAddr,coordinate
深圳市龙岗区龙城街道清林中路朝阳里雅苑2栋3单元6D,"114.23489,22.719667"
深圳市龙岗区平湖街道平吉大道润龙威商务大厦B318,"114.12139,22.687572"
深圳市龙岗区吉华街道翠湖社区翠枫豪园4栋枫叶阁、枫雅阁A座5E,"114.10359,22.612083"
深圳市龙岗区吉华街道三联社区赛格新城5号楼809,"114.11543,22.626938"
深圳市龙岗区平湖街道新木社区新木大道6号新木盛低碳产业园B栋宿舍660,"114.12872,22.662659"
深圳市龙岗区南湾街道玉岭花园B18栋18B,"114.151405,22.605843"
深圳市龙岗区南湾街道布澜路8号庄氏厦510,"114.13982,22.629473"
深圳市龙岗区坂田华为总部办公楼,"114.057175,22.656551"
深圳市龙岗区龙岗街道同乐社区深汕路333号利荣大厦四楼,"114.31214,22.709812"
深圳市龙岗区龙城街道黄阁坑社区清林路447号龙岗天安数码创新园2号厂房B303-24,"114.22152,22.71981"
深圳市龙岗区横岗街道怡锦社区康乐路27号天颂雅苑7栋S16,"114.18483,22.650969"
深圳市龙岗区宝龙街道同乐社区同德路4号德庆工业区5栋101,"114.317024,22.708715"
深圳市龙岗区坂田街道岗头社区岗头村上小坑山地江南时代大厦2号楼101-6,"114.07056,22.656017"
深圳市龙岗区园山街道荷坳社区花半里1楼11号,"114.06830000000002,22.545540000000074"
深圳市龙岗区园山街道荷坳社区龙岗大道8288号大运软件小镇9A栋101,"114.229034,22.685623"
深圳市龙岗区坂田街道雪岗北路133号岗头发展大厦605单元,"114.065384,22.658188"
深圳市龙岗区布吉街道宝丽路63号一楼厂房东侧,"114.108574,22.594118"
深圳市龙岗区平湖街道禾花社区富安大道8号海源创新中心809-01,"114.12489,22.682348"
深圳市龙岗区龙城街道五联社区朱古石连心路145号00052厂房302室,"114.21914,22.745829"
深圳市龙岗区宝龙街道同德社区吓坑村A区2巷6号101室,"114.116486,22.622501"
深圳市龙岗区坂田街道手造文化街二期1号门一层158号,"114.06497,22.61259"
深圳市龙岗区南湾街道康乐社区康桥花园一期15栋F单元1003室,"114.13962,22.623291"
深圳市龙岗区坂田街道布龙路522号祥云大厦701室,"114.07167,22.627935"
深圳市龙岗区坂田街道上雪科技园科技一路5号1栋523,"114.06830000000002,22.545540000000074"
深圳市龙岗区龙城街道黄阁坑社区大运路荣超新成大厦112,"114.21554,22.705105"
深圳市龙岗区坂田街道环城南路5号坂田国际中心D栋102室,"114.07649,22.61848"
深圳市龙岗区龙城街道如意路92号蚂蚁智库创业楼四楼,"114.236946,22.696209"
深圳市龙岗区园山街道长江埔路76号森雅谷B座612,"114.06830000000002,22.545540000000074"
深圳市龙岗区布吉街道布沙路可园七期19号楼A单元2002房,"114.136475,22.60782"
深圳市龙岗区园山街道大康社区沙荷路35号2楼201室,"114.06830000000002,22.545540000000074"
深圳市龙岗区南湾街道康乐社区康桥花园17栋(红棉路)122号,"114.13962,22.623291"
深圳市龙岗区南湾街道南岭村社区布澜路7号岭宏健康家园3栋1601,"114.13982,22.629473"
深圳市龙岗区坂田街道河背村侨联西五巷七号102,"114.06830000000002,22.545540000000074"
深圳市龙岗区宝龙街道龙东社区富盈创展中心302,"114.2966,22.724302"
深圳市龙岗区坂田街道坂田社区坂雪岗大道3012号5层8536,"114.067055,22.638563"
深圳市龙岗区龙城街道花园坪8巷6号,"114.22942,22.706593"
深圳市龙岗区横岗街道四联社区横一路33号A栋811,"114.19015,22.651005"
深圳市龙岗区坂田街道大发埔社区大发路45号福龙大厦623,"114.05619,22.634033"
深圳市龙岗区坂田街道永香西路5-13号208A,"114.06624,22.620539"
深圳市龙岗区龙城街道白灰围一路15号201,"114.23148,22.72257"
深圳市龙岗区横岗街道六约社区深峰路3号2A,"114.1767,22.636347"
深圳市龙岗区平湖街道华南城环球物流大厦508,"114.12435,22.67586"
深圳市龙岗区布吉街道老围西路一巷4号301,"114.118256,22.60712"
深圳市龙岗区横岗街道埔厦路99号瑞泽佳园6栋605室,"114.18326,22.643902"
深圳市龙岗区坂田街道环城路坂田国际中心H栋创客公寓1503,"114.07671,22.61927"
深圳市龙岗区坪地街道六联社区新围村8-1号102,"114.319855,22.787563"
深圳市龙岗区布吉街道科园路29号润祥家园E栋首层5号,"114.12937,22.60565"
深圳市龙岗区坂田街道天安云谷产业园一期3栋C座605,"114.06932,22.659086"
深圳市龙岗区坂田街道马蹄山倒角一巷1号101商铺,"114.06608,22.655277"
深圳市龙岗区龙城街道黄阁路天安数码城2号楼B座401-D,"114.21845,22.712778"
深圳市龙岗区园山街道龙岗大道8288号大运软件小镇29栋1楼102-B,"114.228905,22.685863"
深圳市龙岗区坂田街道环城北路16号威宇隆产业园A316,"114.07081,22.65869"
深圳市龙岗区坂田街道南坑社区雅园路5号1栋2层18A,"114.06542,22.616484"
深圳市龙岗区龙岗街道新生田祖上村头圩路2-3号,"114.26777,22.742645"
深圳市龙岗区坂田街道南坑社区雅园路5号3栋2层2B,"114.06542,22.616484"
深圳市龙岗区龙城街道嶂背社区嶂背路74号203,"114.2547,22.69071"
深圳市龙岗区坂田街道雪象社区下雪村工业园7栋三楼301,"114.08237,22.64999"
深圳市龙岗区横岗街道红棉四路23号汉林张氏产业园2号厂房324号,"114.21283,22.666082"
深圳市龙岗区南湾街道布澜路182号创意产业园2号楼3B08A,"114.12175,22.649635"
深圳市龙岗区平湖街道华南大道一号华南国际纺织服装原辅料物流区二期2层2E-018,"114.12824,22.674797"
深圳市龙岗区坂田雅园路手造文化街二期2号门2F138-178,"114.06497,22.61259"
深圳市龙岗区龙岗大道4028号四楼,"114.2583,22.717867"
深圳市龙岗区坂田街道雅园路9号万科第五园一期方和府K栋,"114.06676,22.616339"
深圳市龙岗区坂田街道象角塘社区中浩金裕城工业园B栋401,"114.07753,22.655317"
深圳市龙岗区横岗街道大康村安康路125-1号,"114.225136,22.640839"
深圳市龙岗区平湖街道白坭坑社区丹农路1号海吉星电商大厦901,"114.1629,22.647293"
深圳市龙岗区横岗街道红棉社区普安路100-1号振业城悦府1栋F,"114.17951,22.64058"
深圳市龙岗区坂田街道五和南路2号星火online 7栋103,"114.06004,22.606388"
深圳市龙岗区吉华街道甘坑社区秀峰工业城A7栋5A,"114.10461,22.647219"
深圳市龙岗区坂田街道南坑社区五和大道(南)2号万科星火6栋1层104,"114.0612,22.612366"
深圳市龙岗区龙城街道黄阁路深圳留学人员（龙岗）创业园一园北区3楼339室,"114.21845,22.712778"
深圳市龙岗区坂田街道和成世纪名园3栋A座1002,"114.06206,22.625294"
深圳市龙岗区龙岗街道平南社区龙岗路19号东森商业大厦三楼311室,"114.26974,22.722626"
深圳市龙岗区南湾街道大族河山花园一期3座2802,"114.15728,22.612825"
深圳市龙岗区坂田街道马安堂社区中兴路11号城市山海中心C栋406,"114.07634,22.623161"
深圳市龙岗区龙岗街道平南社区创富时代1509,"114.15121,22.606726"
深圳市龙岗区龙岗街道龙新社区兰水路万事顺成工业园1栋,"114.30896,22.73083"
深圳市龙岗区坂田街道五和社区永香路七巷4号101,"114.059364,22.6211"
深圳市龙岗区龙岗街道平南社区万汇大厦1404-B区07号,"114.254395,22.71756"
深圳市龙岗区坂田街道五和社区和堪村和盛大厦403,"114.06379,22.62637"
深圳市龙岗区横岗街道华乐社区康乐路6号联威大厦301,"114.19012,22.644024"
深圳市龙岗区平湖街道平新北路98号DCC文化创意园1栋4层402室,"114.11965,22.67532"
深圳市龙岗区宝龙街道宝龙五路一号A栋103,"114.30316,22.687162"
深圳市龙岗区龙城街道岗贝社区龙岗大道39号一栋2楼一整层,"114.24077,22.70568"
深圳市龙岗区龙岗街道新生社区低山北路6号2楼,"114.06830000000002,22.545540000000074"
深圳市龙岗区平湖街道辅城坳凤岐路9号102,"114.11003,22.685545"
深圳市龙岗区南湾街道下李朗社区平吉大道1号建昇大厦B1521,"114.12577,22.649744"
深圳市龙岗区吉华街道中海怡翠社区松源路1号茵悦之生花园14栋C单元3B,"114.11487,22.62816"
深圳市龙岗区龙城街道吉祥社区龙岗大道2286-2292号A812(A866),"114.28175,22.736494"
深圳市龙岗区龙岗街道龙西新村十六巷5号602,"114.248695,22.646454"
深圳市龙岗区布吉街道布澜路182号1号楼3B5(182设计园）,"114.12007,22.651178"
深圳市龙岗区坂田街道五和南路2号星火online7栋103,"114.06004,22.606388"
深圳市龙岗区坂田街道环城南路5号坂田国际中心D栋102室,"114.07649,22.61848"
深圳市龙岗区布吉街道西环路文博宫公寓8栋4单元514,"114.10415,22.605318"
深圳市龙岗区平湖街道禾花社区华南大道一号华南国际皮革皮具原辅料物流区二期1号广场4C-008,"114.12824,22.674797"
深圳市龙岗区龙城街道中心城城市花园二期2栋商铺204,"114.06830000000002,22.545540000000074"
深圳市龙岗区坂田街道五和社区雅园路16号102,"114.06830000000002,22.545540000000074"
深圳市龙岗区龙城街道黄阁坑社区清辉路149号中海康城国际2栋3单元康智阁22E,"114.06830000000002,22.545540000000074"
深圳市龙岗区龙城街道清林西城投商务中心,"114.213715,22.719557"
深圳市龙岗区坂田街道大发埔社区里石排一巷20号坂田集团统建楼702,"114.06830000000002,22.545540000000074"
深圳市龙岗区龙城街道长兴北路6号博深大厦612室,"114.06830000000002,22.545540000000074"
深圳市龙岗区龙岗街道碧新路2095号世宏大厦1521,"114.2667,22.72113"
深圳市龙岗区南湾街道布沙路万科公园里二期2栋G115S,"114.15674,22.605604"
深圳市龙岗区坂田街道雪象社区吉华路上雪科技工业城东区9号B栋厂房一至五楼,"114.08941,22.638035"
深圳市龙岗区南湾街道南岭村社区布澜路5号尚峰花园4栋B座2501,"114.06830000000002,22.545540000000074"
深圳市龙岗区龙城街道新联社区爱南路368号二单元201,"114.24373,22.696459"
深圳市龙岗区南湾街道南晶小区3栋1406,"114.06830000000002,22.545540000000074"
深圳市龙岗区坂田街道马安堂社区环城南路11号红盒子创意园B105,"114.07979,22.62375"
深圳市龙岗区龙岗街道龙河路榭丽花园三期5座2205室,"114.25975,22.726456"
深圳市龙岗区坂田街道杨美社区长发中路8号B308,"114.06523,22.630827"
深圳市龙岗区坂田街道和成世纪名园3栋A座1215,"114.06206,22.625294"
深圳市龙岗区平湖街道长龙西路37号B栋三楼,"114.102745,22.695263"
深圳市龙岗区平安大道313号平湖街道茗萃园一期2号楼B座502,"114.14246,22.667961"
深圳市龙岗区坂田街道环城南路5号坂田国际中心B栋902-4室,"114.06830000000002,22.545540000000074"
深圳市龙岗区龙岗街道龙西社区清水路28号富达605,"114.06830000000002,22.545540000000074"
深圳市龙岗区龙岗街道龙岗大道4001号万汇大厦1208单元,"114.25544,22.717566"
深圳市龙岗区龙城街道五联市场万科清林径二期36B1705,"114.23072,22.751602"
深圳市龙岗区坪地镇六联石碧村红岭二路3-1栋院内,"114.34156,22.79569"
深圳市龙岗区坂田街道里浦街润创兴时代公寓A座603,"114.06830000000002,22.545540000000074"
深圳市龙岗区南湾街道上李朗社区上李朗工业区A栋402,"114.06830000000002,22.545540000000074"
深圳市龙岗区平湖街道华南城好4号广场好百年家居二楼F203,"114.1236,22.679"
深圳市龙岗区南湾街道阅景花园4号楼一单元807,"114.13891,22.622225"
深圳市龙岗区南湾街道上李朗社区李朗布澜路182号182设计园1号楼3B05,"114.12175,22.649635"
深圳市龙岗区园山街道安良社区油田路28号A3栋201,"114.22978,22.631014"
深圳市龙岗区坂田街道雅园路26号1-1栋厂房1楼1号,"114.06594,22.616987"
深圳市龙岗区龙城街道五联社区朱古石福强科技园5栋4层中,"114.233246,22.75086"
深圳市龙岗区宝龙街道宝龙社区宝荷大道81号振业峦山谷花园(一期)6-6L,"114.266365,22.686995"
深圳市龙岗区龙城街道黄阁坑社区大运路荣超新成大厦2716,"114.21554,22.705105"
深圳市龙岗区龙岗街道建新路怡龙枫景园3b栋2206,"114.27421,22.724806"
深圳市龙岗区南湾街道布沙路57号荔景商务A座601,"114.06830000000002,22.545540000000074"
深圳市龙岗区坂田街道华熠科技大厦910,"114.05918,22.620348"
深圳市龙岗区龙岗街道南联社区佳业广场601,"114.26868,22.715145"
深圳市龙岗区吉华街道三联社区布龙城D609,"114.113464,22.620422"
深圳市龙岗区龙城街道尚景欣园A栋403,"114.25117,22.729315"
深圳市龙岗区平湖街道力昌社区新厦工业城41栋201,"114.13072,22.703218"
深圳市龙岗区龙城街道华兴路26号天汇大厦A座409,"114.21521,22.718113"
深圳市龙岗区横岗街道红棉社区中海大山地41栋3-21C,"114.17936,22.642967"
深圳市龙岗区坂田街道新天下工业城百瑞达大厦写字楼12层1231-19,"114.06603,22.64373"
深圳市龙岗区横岗街道四联路新茂二巷二号一楼,"114.2055,22.65085"
深圳市龙岗区宝龙街道同德社区吓坑田心9巷1号202,"114.37028,22.747446"
深圳市龙岗区横岗街道六和路36号201室,"114.1911,22.637438"
深圳市龙岗区坂田街道五和大道南景俊大厦305室,"114.05986,22.609116"
深圳市龙岗区龙岗街道新生社区低山北路8号Ｆ栋厂房303,"114.285934,22.74714"
深圳市龙岗区坂田街道和磡工业区A2栋1楼整层,"114.06095,22.62391"
深圳市龙岗区布吉街道布龙路26号中海怡翠山庄52栋1座1D,"114.108826,22.623419"
深圳市龙岗区坂田街道中兴路城市山海中心B栋702,"114.12201,22.607243"
深圳市龙岗区龙城街道黄阁坑社区华美中路49号一楼,"114.21429,22.716864"
深圳市龙岗区坂田街道坂雪岗大道2002号本真楼A栋502室,"114.07067,22.629103"
深圳市龙岗区龙岗街道南联社区爱南路391号A902,"114.24673,22.69877"
深圳市龙岗区平湖街道平湖社区平安大道3号铁东物流区11栋1815,"114.138,22.676891"
深圳市龙岗区布吉街道木棉湾社区育苗路6号鸭秋湖工业区中兴新厂房201-202,"114.132866,22.597406"
深圳市龙岗区坂田街道永甘路8号402,"114.05853,22.61721"
深圳市龙岗区坂田街道五和社区永香西路20号1205,"114.06234,22.622087"
深圳市龙岗区坂田街道十二橡树庄园D3-3A,"114.06733,22.623611"
深圳市龙岗区龙城街道鸿基花园三期第三栋A1808,"114.24296,22.71074"
深圳市龙岗区龙岗街道南联社区龙岗大道(龙岗段)4070号远洋新干线晶钻广场2栋ABC座A1731,"114.26917,22.725328"
深圳市龙岗区平湖街道平吉大道平吉上苑一期B栋2001,"114.12216,22.668207"
深圳市龙岗区龙城街道尚景社区龙翔大道9002号志联佳大厦五层8510A,"114.25149,22.721397"
深圳市龙岗区南湾街道宝岭社区桂芳园24栋听雨居E1106,"114.14127,22.611725"
深圳市龙岗区布吉街道文景社区中心区诚信华庭3单元15D,"114.12814,22.606888"
深圳市龙岗区南湾街道上李朗社区李朗布澜路182号3号楼201,"114.12175,22.649635"
深圳市龙岗区龙岗街道龙岗社区上福路37号102,"114.27013,22.731495"
深圳市龙岗区横岗街道龙岗大道4026-3号,"114.20413,22.644178"
深圳市龙岗区横岗街道华桥西村四巷六号802,"114.284645,22.72755"
深圳市龙岗区坂田街道五和社区永香路8巷7号华熠科技大厦B904,"114.05999,22.62077"
深圳市龙岗区龙城街道黄阁坑149中海康城国际2栋3单元8B,"114.207375,22.705675"
深圳市龙岗区龙城街道军田路22号A808,"114.23782,22.692377"
深圳市龙岗区南湾街道布澜路182号182设计园3106,"114.12175,22.649635"
深圳市龙岗区坂田街道五和社区永香路八巷七号十七楼A1706,"114.05999,22.62077"
深圳市龙岗区龙城街道龙岗中心城珠江国际中心12楼B区,"114.25005,22.722422"
深圳市龙岗区宝龙街道龙东社区爱南路78号利好工业园2栋209,"114.286766,22.710302"
深圳市龙岗区龙岗街道爱南路368号5楼,"114.243645,22.696365"
深圳市龙岗区龙岗街道宝沙一路振业峦山谷花园二期2栋一单元15A,"114.26515,22.686249"
深圳市龙岗区吉华街道三联社区赛格新城6号楼702,"114.11543,22.626938"
深圳市龙岗区坂田街道杨美村旺塘13巷21号14B,"114.08214,22.629026"
深圳市龙岗区平湖街道平湖社区富民工业区第43栋厂房第三层301,"114.13716,22.677797"
深圳市龙岗区坂田街道长发中路18号奥雅大厦909,"114.06247,22.630873"
深圳市龙岗区布吉街道京南路80后街A1210,"114.12443,22.601463"
深圳市龙岗区龙岗街道新生社区龙新大道1号A栋A206,"114.26149,22.739452"
深圳市龙岗区布吉街道金排社区东方盛世B栋1单元202,"114.1159,22.591991"
深圳市龙岗区坂田街道雅园路26号A08,"114.06594,22.616987"
深圳市龙岗区坂田街道岗头社区岗头村上小坑山地江南时代大厦2号楼103-2,"114.07056,22.656017"
深圳市龙岗区坂田街道五和南路万科四季花城罗兰苑H栋401室,"114.061134,22.62448"
深圳市龙岗区横岗街道六约深峰路林展财富大厦501-502室,"114.17669,22.64016"
深圳市龙岗区南湾街道南岭村社区龙山工业区24号厂房220,"114.13917,22.60311"
深圳市龙岗区横岗街道横一路33号B栋801室,"114.1902,22.650965"
深圳市龙岗区龙城街道天安数码城2栋B单元1003,"114.22137,22.70348"
深圳市龙岗区龙城街道尚景社区龙翔大道9009号珠江广场A2栋9F,"114.251526,22.724583"
深圳市龙岗区布吉街道宝丽路62号厂房4楼401,"114.114365,22.59598"
深圳市龙岗区坂田街道南坑第一工业区B栋605,"114.062675,22.611244"
深圳市龙岗区坂田街道富豪花园绿茵阁10E,"114.07045,22.625507"
深圳市龙岗区坪地街道怡心社区教育中路43号C栋C,"114.30188,22.774096"
深圳市龙岗区横岗街道横岗社区力嘉路108号A栋A1-02,"114.203384,22.642147"
深圳市龙岗区龙城街道天安数码城2号楼A座401,"114.22137,22.70348"
深圳市龙岗区坪地街道六联社区石碧村红岭工业区2号A栋402,"114.343475,22.795588"
深圳市龙岗区坂田街道五和商业广场2009,"114.07659,22.617174"
深圳市龙岗区南湾街道布沙路57号荔景商务A栋3楼305,"114.15754,22.604738"
深圳市龙岗区南湾街道下李朗社区平吉大道平朗路9号万国食品城C座12H,"114.130684,22.651833"
深圳市龙岗区平湖街道新木村东都路2号B区3楼,"114.236275,22.707115"
深圳市龙岗区龙城街道吉祥社区吉祥中路1号风临国际中心D423,"114.244705,22.709259"
深圳市龙岗区坂田街道坂田社区黄金山街22号806,"114.06257,22.638899"
深圳市龙岗区坪地街道坪西花园村53号3楼301,"114.309006,22.775776"
深圳市龙岗区横岗街道荷康花园4栋26C,"114.06830000000002,22.545540000000074"
深圳市龙岗区坪地街道坪东社区八号厂房三楼,"114.309006,22.775776"
深圳市龙岗区吉华街道甘坑社区甘李路1号巨银科技工业厂区2号厂房401,"114.10628,22.649527"
深圳市龙岗区龙城街道爱联社区蒲排北九巷龙兴苑A栋901,"114.06830000000002,22.545540000000074"
深圳市龙岗区横岗街道永湖社区永湖路12号1栋2A室,"114.21656,22.657738"
深圳市龙岗区南湾街道早禾坑工业区8号宇翔工业园G栋6楼603,"114.16596,22.628338"
深圳市龙岗区龙城街道万科天誉中央广场B座二单元4001,"114.24379,22.714329"
深圳市龙岗区坂田街道吉华路687号融合大厦508-2室,"114.05577,22.63459"
深圳市龙岗区布吉街道百鸽笼翡翠星光园商场401C区,"114.12437,22.601355"
深圳市龙岗区龙岗街道龙新社区龙升路75号南通商务楼303室,"114.29748,22.726074"
深圳市龙岗区坂田街道雪象社区上雪金鹏路3号A栋1-4楼,"114.11744,22.604652"
深圳市龙岗区布吉街道吉信大厦吉祥阁1705室,"114.117004,22.600517"
深圳市龙岗区平湖街道鹅公岭社区良白路中联通泰橡胶工业园C栋南边301,"114.06830000000002,22.545540000000074"
深圳市龙岗区坂田街道水库路手造文化街二期综合楼2号门4楼A,"114.06427,22.616203"
深圳市龙岗区平湖街道凤凰大道132号凤凰商业广场513,"114.06830000000002,22.545540000000074"
深圳市龙岗区坂田街道五和南路2号万科星火7栋111室,"114.06830000000002,22.545540000000074"
深圳市龙岗区坂田街道南坑社区雅园路5号1栋4楼04,"114.06830000000002,22.545540000000074"
深圳市龙岗区龙岗街道龙升路134号电商大厦B座303-3,"114.29808,22.725023"
深圳市龙岗区平湖街道辅城坳社区岐阳路8号融湖世纪花园2号楼120,"114.11739,22.693502"
深圳市龙岗区坂田街道坂雪岗大道帝利花园B座1303,"114.06830000000002,22.545540000000074"
深圳市龙岗区布吉街道布澜路31号龙岗创新产业园李朗软件园A2-801,"114.12657,22.641224"
深圳市龙岗区龙城街道龙岗大道龙岗段2172号,"114.24704,22.7116"
深圳市龙岗区龙城街道吉祥社区龙岗大道3020-3026号湖广通大厦516,"114.28175,22.736494"
深圳市龙岗区龙城街道盛平社区官新合村塘背沥一巷九号,"114.24793,22.686344"
深圳市龙岗区坂田街道坂田雅园路万科第五园三期玉溪府G四楼,"114.06986,22.617832"
深圳市龙岗区坂田街道和磡村和磡路南四巷6号和兴楼806房,"114.06216,22.623098"
深圳市龙岗区横岗街道中海大山地41栋三单元3C,"114.17742,22.645998"
深圳市龙岗区南湾街道布澜路8号庄氏大厦502室,"114.06830000000002,22.545540000000074"
深圳市龙岗区布吉街道京南路龙珠花园C区10栋7E,"114.12748,22.602774"
深圳市龙岗区龙岗街道南联社区上龙塘路10号102,"114.260635,22.715454"
深圳市龙岗区平湖街道禾花社区富安大道18号亚钢工贸大楼1栋806,"114.13527,22.683886"
深圳市龙岗区南湾街道中城康桥花园一期16栋B902,"114.14417,22.626104"
深圳市龙岗区南湾街道金龙花园C区1710,"114.147026,22.618242"
深圳市龙岗区龙城街道新联社区龙石路122号208,"114.23478,22.691536"
深圳市龙岗区坂田街道南坑麒麟东4栋15号601,"114.0612,22.612366"
深圳市龙岗区贝尔路坂田高新技术工业园一号楼101,"114.06459,22.6417"
深圳市龙岗区布吉街道西环路88号文博宫2号馆301,"114.10415,22.605318"
深圳市龙岗区布吉街道深惠路102号龙珠商城3楼C区3901,"114.12356,22.60291"
深圳市龙岗区龙岗街道五联社区瓦窑坑村瓦陶二路三号厂房,"114.290276,22.686981"
深圳市龙岗区宝龙街道同乐浪背第六工业区17号,"114.06830000000002,22.545540000000074"
深圳市龙岗区平湖街道华南国际印刷纸品包装物流区P20栋复式122,"114.06830000000002,22.545540000000074"
深圳市龙岗区南湾街道下李朗社区平吉大道九号A区华熠大厦A座A1106号房,"114.06830000000002,22.545540000000074"
